🕘️更新时间,#genre#
2026-08-12 09:06:27,http://10.0.0.66:8080/hls/6f5b267b0103c3d9ab13b284.m3u8

⚽ Football UK,#genre#
CCTV-5+,http://10.0.0.66:8080/hls/6f5b267b0103c3d9ab13b284.m3u8
ESPN,http://10.0.0.66:8080/hls/65356fbf48a49ac455478c21.m3u8
ESPN,http://10.0.0.66:8080/hls/9cbae04456607fc7cff2e6e5.m3u8
ESPN,http://10.0.0.66:8080/hls/02b5b44d98bf66801be48ead.m3u8
ESPN,http://10.0.0.66:8080/hls/a0d0c31a5860ad8811f3d81f.m3u8
NBA,http://10.0.0.66:8080/hls/6c043a4686f5e610f51e99e6.m3u8
NFL,http://10.0.0.66:8080/hls/7bd894e30c71e91f8ad98d22.m3u8
MMA,http://10.0.0.66:8080/hls/760d18c436ee744172586d20.m3u8
MMA,http://10.0.0.66:8080/hls/006d08fa757ce5b3eb0c64e7.m3u8
MMA,http://10.0.0.66:8080/hls/c776d6f59e69f01d49beba37.m3u8

📺 Chinese Sports,#genre#

♻️未匹配频道,#genre#
ABN China (720p),http://10.0.0.66:8080/hls/eda082d869d93e0ab35d9ec7.m3u8
Ando TV (1080p),http://10.0.0.66:8080/hls/66c07e2bd7395c3c91ea637a.m3u8
Angel TV Chinese (720p),http://10.0.0.66:8080/hls/37e01138a6c0a2de1421808e.m3u8
Anhui TV,http://10.0.0.66:8080/hls/10aa3c685bae56b8e0d53c1d.m3u8
Anshun Comprehensive News Channel,http://10.0.0.66:8080/hls/c7047458d3a1852dbe50f3bd.m3u8
Bread TV面包台 (720p),http://10.0.0.66:8080/hls/8199a675266274533dc4b001.m3u8
BRTV Kaku Childrens Channel,http://10.0.0.66:8080/hls/728dc5969be2642daa70cf43.m3u8
BRTV 北京卫视 (1080p),http://10.0.0.66:8080/hls/343a84c24957d8e3de9bc0d9.m3u8
CCTV+ 1 (600p) [Not 24/7],http://10.0.0.66:8080/hls/fff218c26f5f79101ad71389.m3u8
CCTV+ 2 (600p) [Not 24/7],http://10.0.0.66:8080/hls/f3755946036615de1eae285c.m3u8
CCTV-1,http://10.0.0.66:8080/hls/f344d50cfba0beb82401f90e.m3u8
CCTV-1,http://10.0.0.66:8080/hls/19ed938123975e64307e4896.m3u8
CCTV-2,http://10.0.0.66:8080/hls/c549d6f6b69d95b2b9e507cb.m3u8
CCTV-3,http://10.0.0.66:8080/hls/9bc24c7fdbb774f5cc31de7a.m3u8
CCTV-4K,http://10.0.0.66:8080/hls/4f46d3dbf6cc07e948b7b506.m3u8
CCTV-6,http://10.0.0.66:8080/hls/c02786c097e971e029aa302c.m3u8
CCTV-6,http://10.0.0.66:8080/hls/832d026f91e8069ea08537d1.m3u8
CCTV-7,http://10.0.0.66:8080/hls/2617c32ac427a594c519d482.m3u8
CCTV-8,http://10.0.0.66:8080/hls/4dedc49d2c80e8739a8e77ea.m3u8
CCTV-8K,http://10.0.0.66:8080/hls/65bd380a9cfd134c4ac84824.m3u8
CCTV-9,http://10.0.0.66:8080/hls/77fd79c451f8b418cade5df7.m3u8
CCTV-10,http://10.0.0.66:8080/hls/c790c71dcd04c9ff943244ec.m3u8
CCTV-11,http://10.0.0.66:8080/hls/2ea600914d00c82ca352204c.m3u8
CCTV-12,http://10.0.0.66:8080/hls/97ff908c12b943f5daacddcc.m3u8
CCTV-13,http://10.0.0.66:8080/hls/67f45ae93ecf212e06fb5578.m3u8
CCTV-13,http://10.0.0.66:8080/hls/8d128501cc74cf0a6e139d75.m3u8
CCTV-14,http://10.0.0.66:8080/hls/56309b54f5af708eefb76b59.m3u8
CCTV-15,http://10.0.0.66:8080/hls/505c98d35a3a5b59c1d8d025.m3u8
CCTV-16,http://10.0.0.66:8080/hls/8f9ee76ef3efc00fbf38224e.m3u8
CCTV-17,http://10.0.0.66:8080/hls/c23ebace2841f3f1ef589d5e.m3u8
CCTV-Billiards (1080p),http://10.0.0.66:8080/hls/79ecdaff3a49a6bb61c93b40.m3u8
CCTV-Culture of Quality (1080p),http://10.0.0.66:8080/hls/c38da3bb64ad98dac3a8f8f8.m3u8
CCTV-Golf & Tennis (1080p),http://10.0.0.66:8080/hls/93532bb33e95426ced69a011.m3u8
CCTV-Health (1080p),http://10.0.0.66:8080/hls/b5836412a09305e9b607ec9b.m3u8
CCTV-Nostalgia Theater (1080p),http://10.0.0.66:8080/hls/d8d37724de536b45b64eefe7.m3u8
CCTV-Storm Football (1080p),http://10.0.0.66:8080/hls/23b4b954b3688aa7b70ddecc.m3u8
CCTV-Storm Music (1080p),http://10.0.0.66:8080/hls/4d848c1a7309403301fb8670.m3u8
CCTV-Storm Theater (1080p),http://10.0.0.66:8080/hls/91a210bf2f918115cfb20efe.m3u8
CCTV-The First Theater (1080p),http://10.0.0.66:8080/hls/ee672400eea8667d1f35ae0c.m3u8
CCTV-Weapon & Technology (1080p),http://10.0.0.66:8080/hls/15a7eafe894a990949f4ad87.m3u8
CCTV-Women's Fashion (1080p),http://10.0.0.66:8080/hls/0dd39a4a10c472bd5597ab9e.m3u8
CCTV-World Geography (1080p),http://10.0.0.66:8080/hls/2ced0aa4c9b370068c3c3df6.m3u8
CETV-1,http://10.0.0.66:8080/hls/1f2e2da68cd73a8cb19b5934.m3u8
CETV-2,http://10.0.0.66:8080/hls/78aca8d5c0c71f4666803999.m3u8
Chifeng Comprehensive News Chanel,http://10.0.0.66:8080/hls/df7436413d1d3810ba7b97ec.m3u8
CND Film Middle School Channel,http://10.0.0.66:8080/hls/a470ed488c48607031f70987.m3u8
Dragon TV International (480p) [Geo-blocked],http://10.0.0.66:8080/hls/b52f6443d22a949bac7a21d3.m3u8
Guangzhou TV,http://10.0.0.66:8080/hls/1624d44a6238cbd4c1d54659.m3u8
Harbin Comprehensive News Channel,http://10.0.0.66:8080/hls/5caf2b75beb857f28e7d068e.m3u8
Harbin Movie Channel,http://10.0.0.66:8080/hls/8654fd6043e29b785c13b65d.m3u8
Hebei TV (2160p),http://10.0.0.66:8080/hls/4387484d9171130fca819a3d.m3u8
Home Plus,http://10.0.0.66:8080/hls/4c807300797a4e56d0632db4.m3u8
Hunan TV (2160p),http://10.0.0.66:8080/hls/6833f77050c3cf784c1c165c.m3u8
Jiangxi Children's Channel,http://10.0.0.66:8080/hls/b34c5c54f9118a0b9c3f5662.m3u8
Jiangxi City Channel,http://10.0.0.66:8080/hls/432d61182504362c400b9c4c.m3u8
